lang_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
168	Additional Notes:	Ytterligare noteringar:	Notas adicionales:	Notas adicionales:	Weitere Bemerkungen:	Extra notities		Notes supplémentaires:	Notes supplémentaires:	Flere notater:	????:	???????	?????????????? ??????:	????????? / ????????  ???????? / ??????????		Catatan Tambahan:	???s?ete? S?µe??se??:		Notas adicionais:	Observações Adicionais:	??????? ??????	Yderligere noter:	Ek Notlar:	Dodatkowe notatki:		Note aggiuntive:	???????? ???????	Note suplimentare:	Ghi chú B? sung:		Shenime shtese:	Doplnující poznámky	????????? ????????:		Lisamärkmed:	??????? ??? ?????:			??????	Lisätiedot:	?? ?? :					???????? ????:		dummy
169	Additional Notes: 	Ytterligare noteringar: 	Notas adicionales: 	Notas adicionales: 	Weitere Bemerkungen: 	Extra notities: 		Notes supplémentaires: 	Notes supplémentaires: 	Flere notater: 	????: 	??????? 	?????????????? ??????: 	????????? / ????????  ???????? / ?????????? 		Catatan Tambahan: 	???s?ete? S?µe??se??: 		Notas adicionais: 	Observações Adicionais: 	??????? ?????? 	Yderligere noter: 	Ek Notlar: 	Dodatkowe notatki: 		Note aggiuntive: 	???????? ??????? 	Note suplimentare: 	Ghi chú B? sung: 		Shenime shtese: 	Doplnující poznámky 	????????? ????????: 		Lisamärkmed: 	??????? ??? ?????: 			?????? 	Lisätiedot: 	?? ?? : 					???????? ????: 		dummy
170	Additional X-RAY Notes:	Ytterligare röntgenanteckningar:	Notas de Rayos X adicionales:	Notas de Rayos X adicionales:	Weitere Bemerkungen zu Röntgenuntersuchungen:	Extra rontgenfoto notities:		Radiographies supplémentaires:	Radiographies supplémentaires:	Flere røntgen notater:	???X????:	????????	?????????????? ?????? ? ???????-????????????:	??????? ????????????? ????????? ??????????		Tambahan Catatan X-RAY:	???s?ete? s?µe??se?? ??t?????af???:		Notas de RADIOGRAFIA adicionais:	Observações Adicionais do Raio-X:	??????? ?????? ??????	Yderligere røntgen noter:	Ek Röntgen filmi Notlari:	Dodatkowe notatki dot. RTG:		Note aggiuntive a X-RAY/ Radiografia	???????? ???? - ?? ?????:	Note X-RAY suplimenatre	Ghi chú X-Quang b? sung:		Shenime te tjera per examinimin X-RAY:	Doplnující poznámky k RDG metode	????????? ?????? ?? ???????-???????????:		Lisamärkmed röntgenpildile:	??????? ??? ?????????? ?? ??????X-RAY:			???????????	Röntgenin lisätiedot:	?? ??? ?? :					???????? ????-?? ????:		dummy
171	Additionally, the corresponding US Snomed Extension Package can be imported separately after installing the International (English version) Snomed Release	Som tillägg, motsvarande US Snomed Extension Package can importeras separat efter instalation av den internationella (engelska) Snomed utgåvan			zusätzlich kann das korrespondierende US-amerikanische Extensionspaket nach Installation der internationalen englischen Version importiert werden	Let op: de overeenkomstige versie van US Snomed Extensie Pakket, kan apart geimporteerd worden na installatie van de Internationale (Engelse versie) versie van Snomed.		En outre, le paquet Snomed US Extension correspondant peut être importé séparément après l\'installation du (version anglaise) Snomed sortie international	De plus, le composant US Snomed Extension correspondant peut être importé séparément après avoir installé la version internationale de la mise à jour Snomed (version anglaise)					???? ???,  ?????????? Snomed Release?? /????????  ?????????/  ?????????? ????  ????? ????????????  Snomed Extension Package ????? ? ???????  ????????/?????????			?p?p????, t? a?t?st???? pa??t? ep??tas?? US SnoMed µp??e? ?a e?sa??e? ????st?, µet? t?? e??at?stas? t?? ??e????? ??d?s?? (??????? ??d?s?) t?? Snomed			Adicionalmente, o correspondente pacote de extensão US Snomed pode ser importado separadamente após a instalação do Snomed Internacional liberado (Versão em Inglês).	??????, ???? ??????? ??? Snomed ???????? ??????? ??? ?????? ??????? ????		Ek olarak, ilgili Somed uzantisi paketi uluslararasi (Ingilizce versiyon) Snomed Sürümünü kurduktan sonra ayrica eklenebilir.	Dodatkowo odpowiada US Pakiet rozszerzajacy SNOMED moga byc importowane osobno po zainstalowaniu International (English version) SNOMED prasowy		Inoltre, il corrispondente statunitense SNOMED pacchetto di estensione può essere importato dopo aver installato l\'Internazionale (versione inglese) SNOMED di rilascio	Additionally, the corresponding US Snomed Extension Package can be imported separately after installing the International (English version) Snomed Release		Thêm vào dó, có th? nh?p Gói M? r?ng Snomed c?a Hoa K? tuong ?ng sau khi cài d?t B?n phát hành Snomed Qu?c t? (phiên b?n Ti???ng Anh).			Additionally, the corresponding US Snomed Extension Package can be imported separately after installing the International (English version) Snomed Release	????????, ????? ?????????? SNOMED (??????????? ??? ???) ???? ???? ??????????? ?????? ????? ???????????? ????? SNOMED ??????????? (?????????? ??????)						??????????SNOMED????????????????????(???)????????????????????????????SNOMED????	Lisäksi Yhdysvaltain vastaavaa snomed Extension Package voidaan tuoda erikseen asennuksen jälkeen International (Englanti versio) snomed Julkaisu						????????????, ??????? ??????? Snomed ??????? ????? Snomed ??????? ????????????? (??????? ????????) ??????? ?????????? ??????????? ???? ??? ????		dummy
172	addonly	Lägg endast till	Sólo añadir	solo añadir	nur hinzufügen	Alleen toevoegen		Ajouter seulement	Ajouter seulement		???	????	?????? ??????????	????? ?????????		hanya menambahkan	µ??? p??s????		Só adicionar	somente adicionar	????? ?????	kun tilføjelser	sadece eklenir	tylko dodawanie		solo aggiunta	???? ??????	Doar adaugare	ch? du?c thêm		vetem mund te shtohet		?????? ?????????		ainult lisamine				addonly	Vain lisäys						addonly		dummy
173	Addr Bk	Adressbok	Libreta Direcciones	Lbta Direcciones	Adressbuch	Adresboek		Carnet d\'adresses	Carnet d\'adresses		???	Addr Bk	???. ??.	??????????		Buku Alamat	??ß??? ??e??.		Contactos	Agenda	???? ????????	Adressebog	Adres Def	Ksiazka adresowa		Indirizzario	??? ????????		S? Ð?a ch?		Liber adresash	Adresár	???????? ????????		Aadr.Rmt.	?????? ???? ??			???	Osoitekirja						? ??		dummy
174	Addr Book	Adressbok	Libreta Direcciones	Lbta Direcciones	Adressbuch	Adresboek		Carnet d\'adresses	Carnet d\'adresses		???	Addr Bk	???. ?????	??????????		Buku Alamat	??ß??? ??e??.		Contactos	Agenda	???? ????????	Adressebog	Adres Defteri	Ksiazka adresowa		Indirizzario	??? ????????	Carte de adrese	S? Ð?a ch?		Liber adresash	Adresár	???????? ????????		Aadr.Raamat	?????? ???? ??			???	Osoitekirja	???					? ??????		dummy
175	Address	Adress	Dirección	Dirección	Adresse	Adres		Adresse	Adresse	Adresse	??	??	?????	?????		Alamat	??e????s?		Endereço	Endereço	???????	Adresse	Adres	Adres		Indirizzo	???	Adresa	Ð?a ch?		Adresa	Adresa	??????		Aadress	????	Adresas		???	Osoite	??					?????		dummy
176	Address and Postal Code																																															dummy
177	Address and State																																															dummy
178	Address Book	Adressbok	Libreta de Direcciones	Libreta de direcciones	Adressbuch	Adresboek		Carnet d\'adresses	Carnet d\'adresses	Adressebok	???	???	???????? ?????	??????????		Buku Alamat	??ß??? ??e????se??		Contactos	Lista de Endereços	???? ????????	Adressebog	Adres Defteri	Ksiazka adresowa		Indirizzario	??? ????????	Adresa carte	S? Ð?a ch?		Liber adresash	Adresár	???????? ????????		Aadressiraamat	?????? ???? ??			???	Osoitekirja	???					??????? ???		dummy
179	Address book entry for the company performing this procedure	Tillgång till adressboken för företaget som utför denna åtgärd	Entrada a la libreta de Direcciones de la empresa que realiza este procedimiento	Entrada al Libro de Direcciones para la compañia que hace este procedimiento	Adressbucheintrag der ausführenden Firma	Gegevensinvoer in adresboek van het bedrijf dat deze procedure uitvoert		Entrée au carnet d\'adresses pour la compagnie réalisant cette procédure	Entrée au carnet d\'adresses pour la compagnie réalisant cette procédure		?????????????	??????????????	?????? ? ???????? ????? ??? ????????, ??????????? ??? ????????	????? mi???????????? ??????? ???????????   ?????????? / ????????? ????????????		Entri buku alamat untuk perusahaan yang melaksanakan prosedur ini	?ata????s? eta??e?a? p?? e???e?e? a?t? t? d?ad??as?a, st?? ß?ß??? d?e????se??		Contacto empresa que vai efectuar o procedimento	Cadastro de empresa que realiza este procedimento	?????? ???? ???????? ?????? ??????? ???? ???? ???? ????????		Bu islemi yapan sirketin adres defteri kaydi	Wpis w ksiazce adresowej dla instytucji wykonujacej te procedure		Campo indirizzo dell\'azienda che fornisce questa procedura	?? ??????????? ?? ??? ????? ?? ??? ??? ???????? ??????	Intrare agenda pentru compania care efectueaza aceasta procedura	Ð?u m?c trong s? d?a ch? cho công ty dang th?c hi?n th? t?c này		Te dhena per adresen e komapnise qe kryen proceduren	Adresárový údaj spolecnosti poskytující tuto proceduru	????? ? ????????? ????????? ??? ????????, ?? ??????? ?? ????????		Aadressiraamatu sissekanne seda protseduuri teostava ettevõtte kohta				??????????????????????	Osoitekirjamerkintä yhtiöstä, joka suorittaa toimenpidettä						?? ????????? ??? ????? ??????? ??? ??????		dummy
180	Address book entry for the distributor	Tillgång till adressboken för distributören	Entrada a la libreta de Direcciones para el distribuidor	Entrada al libro de Direcciones para el distribuidor	Adressbucheintrag der Verteilerfirma	Adresboekgegevens voor de distributeur		Entrée au carnet d\'adresses pour le distributeur	Entrée au carnet d\'adresses pour le distributeur		???????	?????????	?????? ? ???????? ????? ??? ???????????	????????????? /?????????????????  ??????????/ ????????????		Entri buku alamat untuk distributor	?ata????s? d?a??µ??? st? ß?ß??? d??e????se??		Contacto do fornecedor	Cadastro do distribuidor	????? ???? ???????? ??????		Distribütör için adres girdisi	Wpis w ksiazce adresowej dla dystrybutora		Campo indirizzo per il distributore	????? ?? ??? ??? ???????? ????????	Intrare agenda pentru distribuitor	Ð?u m?c trong s? d?a ch? cho nhà phân ph?i		Te dhena per adresen e distributorit	Položka adresáre pro distributora	????? ????????? ????????? ??? ????????????		Aadressiraamatu sissekanne edasimüüja kohta				????????????????????????	Osoitekirjamerkintä jakelijasta						????? ???? ??????? ??? ??????		dummy
181	Address book entry for the vendor	Tillgång till adressboken för försäljare	Entrada a la Libreta de Direcciones para el vendedor	Entrada al Libro de Direcciones para el vendedor	Adressbucheintrag des Anbieters	Adresboekgegevens van de verkoper		Entrée au carnet d\'adresses pour le vendeur	Entrée au carnet d\'adresses pour le vendeur		???????	??????????	?????? ? ???????? ????? ??? ?????????????	???????? ??????????? / ????????????		Entri buku alamat untuk vendor	?ata????s? p???t?? st? ß?ß??? d??e????se??		Contacto do vendedor	Cadastro do vendedor	????? ???? ???????? ??????		Saticinin adres defteri kaydi	Wpis w ksiazce adresowej dla sprzedawcy		Campo indirizzo per il venditore	???????? ?? ??? ??? ???????? ??????	Intrare agenda pentru furnizor	Ð?u m?c trong s? d?a ch? cho ngu?i bán		Te dhena per adresen e shitesit	Položka adresáre pro prodejce	????? ????????? ????????? ??? ?????????		Aadressiraamatu sissekanne tootja kohta				??????????????????	Osoitekirjamerkintä myyjästä						???????? ???? ??????? ??? ??????		dummy
182	Address Book Types	Typer av adressböcker	Tipos de Libreta de Direcciones	Tipos de Libro de Direcciones	Adressbuchtypen	Type adresboek		Type de carnet d\'adresse	Type de carnet d\'adresse		?????	?????	???? ???????? ?????	???????????????? ????????		Tipe Buku Alamat	??p?? ß?ß???? d??e????se??		Tipos de Contacto	Tipos de Cadastros	????? ???? ????????	Adressebogtyper	Adres Defteri Tipleri	Typy ksiazki adresów		Tipi di indirizzario	??? ???????? ??????	Tipuri intrare agenda	Các lo?i S? Ð?a ch?		Llojet e librit te adresave	Typy adresáru	???? ???????? ??????????		Aadressiraamatu tüübid	????? ??????? ????			??????	Osoitteistolajit						?????? ?????? ?????		dummy
183	Address Label			Etiqueta de dirección	Typ der Adresse	Adres label			Étiquette d\'adresse					???????????		Label Alamat				Etiqueta de endereço	???? ???????		Adres Etiketi			Etichetta indirizzo			Nhãn Ð?a ch?			Adresní štítek	??????? ?????						?????	Osoitetarra						????? ????		dummy
184	Address Labels																																															dummy
185	Address Only																																															dummy
186	Address, State and Postal Code																																															dummy
187	Address1	Adress1	Dirección1	Dirección1	Adresse1	Adres1		Adresse 1	Adresse 1	adresse1	??1	??1	?????1	????? 1		Alamat 1	??e????s? 1		Endereço1	Endereço1	??????? 1	Adresse 1	Adres1	Adres 1		Indirizzo 1	??? 1	Adresa 1	Ð?a ch? 1		Adresa 1	Adresa 1	?????? 1		Aadress1	???? 1			??1	Osoite1	??1					????? 1		dummy
188	Address2	Adress2	Dirección2	Dirección2	Adresse2	Adres2		Adresse 2	Adresse 2	adresse2	??2	??2	?????2	????? 2		Alamat 2	??e????s? 2		Endereço2	Endereço2	??????? 2	Adresse 2	Adres2	Adres 2		Indirizzo 2	??? 2	Adresa 2	Ð?a ch? 2		Adresa 2	Adresa 2	?????? 2		Aadress2	???? 2			??2	Osoite2	??2					Address2		dummy
189	ADDRESSEE	ADRESSATEN	DESTINATARIO	DESTINATARIO	Empfänger	Geadresseerde		Destinataire	Destinataire		???	???	?????	?????		ALAMAT	?a?a??pt??		DESTINATÁRIO	DESTINATÁRIO	?????	Adressent	ALACAK OLAN	ADRESAT		DESTINATARIO	???? ????	DESTINATAR	ADDRESSEE		MARRESI	Adresát	???????		AADRESS				??	Vastaanottaja	??					?????		dummy
190	Adj	Justera	Ajuste	Ajuste	Anp.	Aanp.		Ajuster	Ajuster		??	???	????.	?????·		Menyesuaikan	???µ		Ajt	Ajt	?????	Adj	Dzn	przym		Mod.	???????	Adj	Ði?u ch?nh		Ndryshim	Adj	??????????		Muuda	?????			??	Pyöristä						Adj		dummy
191	Adj Amount	Korrigera mängd	Importe de Ajuste	Monto de Ajuste	Angep. Betrag	Aanp. bedrag		Montant Ajusté	Montant Ajusté		????	?????	?????????? ????.	?????·  ?????		Jumlah Penyesuaian	???µ ??s??		Ajt Quant	Ajt Quant	????? ???????		Düzeltilmis Miktar	Kwota przym		Quantità di modifica	??????? ????	Adj suma	S? ti?n di?u ch?nh		Shuma e ndryshuar	Adj amount	????????? ??????????		Muuda kogust	????? ????			????	Pyöristyksen määrä						Adj ?????		dummy
192	Adjust	Justera	Ajustar	Ajustar	Anpassen	Aanpassen		Ajuster	Ajuster	Justér	??	??	??????????????	???????		Menyesuaikan	???µ?s?		Ajuste	Ajuste	????	Justér	Düzenle	wyregulowac		Modifica	???????? ????	Ajusta	Ði?u ch?nh		Rregullo	Prizpusobit	??????????		Muuda	?????			??	Pyöristä	??					????????		dummy
193	Adjustment	Korrigering	Ajuste	Ajuste	Anpassung	Aanpassing		Ajustement	Ajustement		??	??	?????????????	????????		Penyesuaian	??ap??sa?µ???		Entendimento	Correção	?????	Justering	Düzenleme	Korekta		Modifica	???????	Ajustare	Ði?u ch?nh		Rregullim	Prizpusobení	???????????		Muutmine	?????			??	Pyöristys						???????		dummy
194	Adjustment Amt	Justera mängd	Ajuste importe	Ajuste importe	Anpassungsbetrag	Aanpassing bedrag		Ajustemen du montant	Montant de l\'ajustement		????		???????? ?????????????	???????????? ???·		Penyesuaian Nilai	??s? a?ap??sa?µ????			Valor de Correção	???? ???????	Juster beløb	Düzeltilen miktar	korekta AMT		Modifica ammont.	??????? ????	Ajustare Amt	S? ti?n di?u ch?nh		Shuma e rregullimit	Prizpusobit množství	?????. ??????????		Koguse muutmine	????? ????			??AMT?	Pyöristyksen määrä						??????? ?????		dummy
195	Adjustment Reasons	Orsak till justering	Motivos del ajuste	Motivos del ajuste	Gründe für Anpassung	Reden voor aanpassingen		Raisons de l\'ajustement	Raisons de l\'ajustement		????	????	??????? ?????????????	???????????? ???????		Alasan Penyesuaian	????? a?ap??sa?µ????		Razões de ajuste	Razões da Correção	????? ???????	Årsag til justering	Düzenleme Nedenleri	Przyczyny korekty		Ragioni per la modifica	???????? ????	Motiv de ajustare	Các lý do Ði?u ch?nh		Arsyeja e rregullimit	Prizpusobit duvody	??????? ???????????		Muutmise põhjused	????? ?????			????	Pyöristyksen syy						??????? ?????		dummy
196	Adjustment value for code 	Justering av värde för kod 	Valor de ajuste para código 	Valor de ajuste para código 	Anpassungswert für Code 	Verandering waarde voor code 		Valeur de l\'ajustement pour code 	Valeur de l\'ajustement pour code 	Justerings verdi for kode 	??????? 	??????? 	???????? ????????????? ??? ???? 	???????? ???? ?????? 		Nilai Penyesuaian untuk kode 	??ap??sa?µ??? t?µ?? ??a ??d??? 		Valor de ajuste para código 	Correção para o código 	?????? ??????? ????? 	Koden justeringsværdi 	Kaynak için düzenleme degeri 	Wartosc ustawienia kodu 		Valore di modifica per codice 	??? ?? ??? ??????? ????? 	Ajustare valoare pentru cod 	Ði?u ch?nh giá tr? cho mã 		Vlera e regullimit per kodin 	Prizpusobit hodnotu kódu 	???????? ??????????? ??? ???? 		Koodi muutmise väärtus 				?????????? 	Pyöristyksen säätöarvo 						??? ??????? ????? 		dummy
197	Adjustments	Justeringar	Ajustes	Ajustes	Anpassungen	Aanpassing		Ajustements	Ajustements	Justeringer	??	??	???????????	???????????		Penyesuaian	??ap??sa?µ????		Ajustes	Correções	???????	Justeringer	Düzenlemeler	Korekty		Modifiche	???????	Ajustari	Ði?u ch?nh		Rregullime	Úpravy	???????????		Muutmised	???????			??	Pyöristykset						??????		dummy
198	Adm adjust	Administrera justeringar	Ajuste administrador	Ajuste administrativo	Admin. Anpassung	Adm aanpassing		Ajustement administratif	Ajustement administratif	Adm juster	????	????	????????? ???.	?????? ????????????		Adm menyesuaikan	??ap??sa?µ??? d?a?.		Adm ajuste	Adm Correção	??????? ??????	Adm justering	Yntm düzenle	Adminitration dostosowac		Modifica ammin.	??????? ????????	Ajustare Adm	Qu???n tr? di?u ch?nh		Administri rregullime	Správa prizpusobení	???????????? ???.		Admini muutmine				??????????	Hallinnoi pyöristyksiä						ADM ????????		dummy
199	Admin	Administrera	Administrador	Administrativo	Admin	Administratie		Administrateur	Administrateur	Admin	???	?? ??	?????.	?????		Admin	??a?e???st??		Admin	Admin	??????	Admin	Yönetici	Admin		Ammin.	???????	Admin	Qu?n tr?		Administrator	Administrátor	?????.		Admin	???? ??? ?????	Administratorius		???	Pääkäyttäjä	???					???????		dummy
200	Admin Email Address	Admin E-postadress	email administrador	Dirección correo electrónico administración	Email-Adresse des Administrators	Administratie e-mailadres		Adresse mail Administrateur	Adresse mail Administrateur	Admin Email Adresse	???Email??	????????	??????????? ????? admin	?????? ??·????		Alamat Email Admin	E-mail ??a?e???st?		Admin E-mail	E-mail do Administrador	??????? ?????????? ??????	Admin emailadresse	Yönetim Eposta Adresi	Adres e-mail Admina		Email Amministratore	????????? ???? ??????	Admin adresa email	Ð?a ch? email Qu?n tr? viên		Emaili i Administratorit	E-mail adresa administrátora	?????????? ?????? admin		Admini E-mail	???? ??? ?????????? ???? ??? ?????	Administratoriaus elektroninis paštas		???????????	Pääkäyttäjän sähköpostiosoite	??? ??? ??					???????? ?-??? ?????		dummy
201	Administer Via	Administrera via	Administrar a través de	Via de administracion	Administrieren über	Administreren via		Administrer via	Administrer via		????	???	????????? ?????	????????? ··?? ??????? / ?????		Administrasi Melalui	??a?e???s? µ?s?		Administrado Via	Administrar Por	????/ ??? ??	Administrer via	Yönetim Yolu:	Droga podawania		Somministrare via	?? ?????? ???????	Administra prin	Qu?n lý B?ng		Administruar nepermjet	Spravovat pres	?????????? ?????		Manustamisviis	?????? ?? ????			????							?????? ??????		dummy
202	Administered	Administrerad av	Administrado	Administrado	Administriert	Vastgelegd door		Administré	Administré		??	??	????????	??????????? ? / ??????????? ?		Diberikan	?p? d?a?e???s?		Administrado	Administrado	????/???	Administrreret	Yönetildi	Zarzadzane		Somministrato	????????	Administrat	Ðu?c qu?n tr?		E administruar	Podáván	????????????		Manustatud	?????? ??? ????			???	Hallinnoima						????????		dummy
203	Administered By	Administrerad av	Administrado por	Administrado por	Administriert durch	Geadministreerd door		Administré par	Administré par	Administrert Av	?????	?????	???????? ?????	??????????? ? / ??????????? ? ··?? ??????/???????		Dimasukan Oleh	?p? d?a?e???s? ap?		Administrado por	Administrado Por	????? ?? ????	Administreret af	Yöneten:	Zarzadzane przez		Somministrato da	?????? ?????????	Administrat de	Ðu?c qu?n tr? B?i		Administruat nga	Spravován	???????????? ?????		Manustas	?????? ??? ????			???	Hallinnoima						????????		dummy
204	Administered Date			Fecha de administrado	Administriert am	Geadministreerde datum			Administré le (date)					?????????? ???????						Data de administraçao	????? ?????		Uygulandigi tarih			Somministrato in data			Ngày Ðu?c qu?n tr?			Spravované datum	???? ???????????????						???	Hallinnointi pvm						???????? ?????		dummy
205	Administered Site	Administrera plats		Sitio de administrado	administrierte Seite	Gadministreerde Site		Site administré	Administré à (site)					?????????? ????			?st?t?p?? ?p? d?a?e???s?			Site Administrado	???? ?????		Uygulandigi Yer	podawany Site		Sito amministrato	???????? ???? ??	Site-ul administrat	Ð?a di?m du?c Qu?n tr?			Spravovaná stránka	??????????????? ????		Manustamiskoht	???? ?????? ???			??????????	Hallinnoitu sivusto						???????? ????		dummy
206	Administration	Administration	Administración	Administración	Administration	Administratie		Administration	Administration	Administrasjon	??	??	?????????????????	??????????		Administrasi	??a?e???s?		Administração	Administração	???????	Sys.Administration	Yönetim	Administracja		Amministrazione	???????	Administrare	Qu?n tr?		Administrim	Správa	???????????????		Administreerimine	??????			???	Hallinto						?????????		dummy
207	Administration Site	Administrera plats		Sitio de administración	Ort der Administration	Site voor Administratie		Site d\'administration	Site d\'administration					????????? ????			?st?t?p?? ??a?e???s??			Adminstração do Site	???? ???????		Uygulama Yeri	Administracja witryny		Sito amministrato	??????? ????	Administrare site	Ð?a di?m Qu?n tr?			Správa stránky	??????????????? ?????		Admini Leht	???? ??????			??????????	Hallinnoitava sivusto						??????? ????		dummy
208	Administrators	Administratörer	Administradores	Administradores	Administratoren	Beheerders		Administrateurs	Administrateurs		???	???	??????????????	????????????????		Administrator	??a?e???st??		Administradores	Administradores	???????	Administratorer	Yöneticiler	Administratorzy		Amministratori	???????	Administratori	Qu?n tr? viên		Administratore	Administrátori	??????????????		Administraatorid	??????	Administratoriai		???	Ylläpitäjät						???????		dummy
209	Administrators can do anything	Administratörer kan göra allt	Los administradores pueden hacer todo	Los administradores pueden hacer cualquier cosa	Administratoren haben vollen Zugriff	Beheerders kunnen alles doen		Les administrateurs ont tous les droits	Les administrateurs ont tous les droits		?????????	?????????	?????????????? ????? ?????? ???	?????????????????? ???????????? ? ???? ???		Administrator dapat melakukan apa saja	?? d?a?e???st?? µp????? ?a ?????? ta p??ta		Administradores podem fazer qualquer operação	Administradores podem fazer qualquer operação	??????? ??? ???? ?????????	Administratorer kan gøre alt	Yöneticiler her seyi yapabilir.	Administratorzy moga wszystko		gli Amministratori possono fare tutto	??????? ??? ?? ?? ???? ???	Administratorii pot face orice	Qu?n tr? viên có th??? làm b?t c? di?u gì		Administratoret mund te bejne cdo gje	Administrátor má neomezený prístup	?????????????? ????? ??????????? ??????		Administraatorid saavad kõike teha	?????? ???? ?? ????? ???? ??????			???????	Ylläpitäjät voivat tehdä kaikkea						??????? ?????? ??? ?????		dummy
210	Admit Date	Godkänn datum		Fecha de admisión	Aufnahmedatum	Datum toevoeging		Date d\'admission	Date d\'admission					????????? ???????			?µe??µ. e?sa?????			Data da Admissão	????? ??????		Kabul tarihi	Przyznaj Data		Data ammissione	???? ?????	Informatii Admin	Ngày Th?a nh?n			Datum prijetí	???? ?????		Tunnistuse Kuupäev	????? ?????			???	Hyväksy päivämäärä	???					????? ????		dummy
211	Adopted Child																																															dummy
212	Adult Weight Screening and Follow-Up	Viktkontroller med uppföljning för vuxna	Revisión Peso de Adulto y Seguimiento	Revisión Peso de Adulto y Seguimiento	Gewichts-Screening (Erwachsene) und Follow-up	Volwassene gewichts screening met follow-up		Suivi et Dépistage du poids pour Adulte	Suivi et Dépistage du poids pour Adulte		?????????	?????????	??????????? ??????????? ???? ?????????	???????? ???? ???????????????????		Penyaringan Berat Sampai Umur dan Tindak Lanjut	??e???? ?????? e?????a ?a? epa?e?t?µ?s?			Peso Adulto de Triagem e Acompanhamento	??? ????? ????????? ????????		Eriskin Agirlik Tarama ve Izlemi	Adult Screening Waga i Uzupelnienie		Screening e Follow-Up del peso - Adulto	????? ??? ???? ?? ????????	Greutate adulti verificare si urmarire	Sàng l?c và Theo dõi Tr?ng lu?ng Ng???i l?n		Matje peshe rutine dhe vizite pasuese	Sledování hmotnosti u dospelých	???????? ???? ????????? ?? ??????????? ??????????		Täiskasvanu kaalujälgimine	???? ? ?????? ??? ??? ????			???????????????????????	Painonhallinta ja seuranta aikuisille	?? ?? screening ? ??					????? ??? ?????????? ??? ?????????		dummy
213	Adult Weight Screening and Follow-Up (CQM)	Viktkontroller med uppföljning för vuxna	Revisión Peso de Adulto y Seguimiento (GCC)	Revisión Peso de Adulto y Seguimiento (GCC)	Gewichts-Screening (Erwachsene) und Follow-up (CQM)	Volwassene gewichts screening met follow-up (CQM)		Suivi et Dépistage du poids pour Adulte (CQM)	Suivi et Dépistage du poids pour Adulte (CQM)		?????????(CQM)	?????????(CQM)	??????????? ??????????? ???? ?????????? (CQM)	???????? ???? ???????????????????  (CQM)		Penyaringan Berat Sampai Umur dan Tindak Lanjut (CQM)	?p?t???s? ?????? e?????a ?a? epa?e?t?µ?s? (CQM)			Peso Adulto de Triagem e Acompanhamento (CQM)	??? ????? ????????? ???????? (CQM)		Eriskin Agirlik Tarama ve Izlemi (KYM)	Adult Screening Waga i Uzupelnienie (CQM)		Screening e Follow-Up del peso - Adulto (CMQ)	????? ??? ???? ??? ???????? (CQM)	Greutate adulti verificare si urmarire (CQM)	Sàng l?c và Theo dõi Tr?ng lu?ng Ngu?i l?n (CQM)		Matje peshe rutine dhe vizite pasuese (CQM)	Sledování hmotnosti u dospelých (CQM)	???????? ???? ????????? ?? ??????????? ?????????? (CQM)		Täiskasvanu kaalujälgimine (CQM)	???? ? ?????? ??? ??? ???? (CQM)			????????????????????????(CQM)	Painonhallinta ja seuranta aikuisille	?? ?? screening ? ??(CQM)					????? ??? ?????????? ????????? (CQM)		dummy
214	Advance Directive	Avancerade råd	Instrucción anticipada	Instrucción anticipada	Spezielle Richtlinie	Speciale richtlijn		Directive préalable	Directive préalable		????	????	??????????????? ??????????	???????? ???????		Petunjuk Lanjutan	?d???a p?????s??		Directiva avançada	Diretiva Avançada	??????? ?????		Avans Yönergesi	Dyrektywa Advance		Direttiva preliminare	?????? ????????	Directiva in avans	Ch? th? Nâng cao		Direktive e avancuara	Navrhnout opatrení	????????? ??????????		Eelnev juhtnöör	?????????? ???????			????	Tarkennettu neuvonta						???? ????????		dummy
215	Advance Directives	Avancerade råd	Directriz Anticipada	Directivas Avanzadas	Spezielle Richtlinien	Speciale richtlijnen		Directives préalables	Directives préalables		????	????	??????????????? ??????????	???????? ??????????		Petunjuk-petunjuk lanjutan	?d???e? p?????s??		Directivas Avançadas	Diretivas Avançadas	??????? ??????		Avans Yönergeleri	dyrektywy Advance		Direttive preliminari	?????? ??????????? ??	Directive in avans	Ch? th? Nâng cao		Direktiva te avancuara	Navrhnout opatrení	????????? ??????????		Eelnevad juhtnöörid	?????????? ??? ???????			????	Tarkennettu neuvonta						???? ???????		dummy
